TABNAME	TCODE	LIFNR	MATNR	ZZMAKER	ZZJSQI	ZZKUBUN	ZZJAPAN	ZZRM_ORIGIN	ZZCATEGORY	ZZPACKING_TYPE	ZZPACKING_SIZE	ZZPACKING_UNIT	ZZINCI_NAME
	ME12	C000002	91100554200	JGC CATALYSTS AND CHEMICALS LTD	Y	4	05542	JP	Powders	BOX	25	KG	SILICA
	ME12	C000002	91100612900	MARUZEN PHARMACEUTICALS CO.,LTD	Y	4	06129	JP	Actives	BAG	1	KG	DIPOTASSIUM GLYCYRRHIZATE
	ME12	C000002	91100632800	KOEI KOGYO CO., LTD	Y	4	06328	JP	Actives	CAN	10	KG	ALCOHOL / WATER / CAMELLIA SINENSIS LEAF EXTRACT
	ME12	C000002	91100636400	FUJIMOTO CHEMICAL CO.,LTD.	Y	4	06364	JP	Actives	BOX	100	G	SODIUM ACETYLATED HYALURONATE
	ME12	C000002	91100636900	DSM NUTRITIONAL PRODUCTS	Y	4	06369	CH	Actives	CAN	1	KG	SERICIN/WATER/Citric Acid/Potassium Sorbate
	ME12	C000002	91100641200	UENO FINE CHEMICALS INDUSTRY, LTD	Y	4	06412	JP	Actives	BOX	25	KG	METHYLPARABEN
	ME12	C000002	91100671100	JAPAN-OXALIS CHEMICALS LTD.	Y	4	06711	JP	Actives	CAN	10	KG	BHT
	ME12	C000002	91100677100	NAGASE CHEMTEX CORPORATION	Y	4	06771	JP	Actives	BAG	20	KG	DISODIUM EDTA
	ME12	C000002	91100681900	DAIDO CHEMICAL CORPORATION	Y	4	06819	JP	Polymers	CAN	10	KG	HYDROXYPROPYL METHYLCELLULOSE STEAROXY ETHER
	ME12	C000002	91100697401	DSM Nutritional Products Ltd.	Y	4	06974	CN	Actives	BOX	60	KG	ETHYLHEXYL TRIAZONE
	ME12	C000002	91100699201	DSM Nutritional Products Ltd.	Y	4	06992	CN	Actives	DRUM	200	KG	OCTOCRYLENE
	ME12	C019148	91100699600	BASF TAIWAN LTD.	Y	2	06996	TW	Actives	CAN	20	KG	BIS-ETHYLHEXYLOXYPHENOL METHOXYPHENYL TRIAZINE
	ME12	C000002	91100725400	DAIWA DYESTAFF MFG. CO., LTD.	Y	4	07254	JP	Coloring Agents	CAN	1	KG	Yellow 6
	ME12	C000002	91100726200	KISHI KASEI CO., LTD	Y	4	07262	JP	Coloring Agents	BOX	1	KG	GREENÿ5
	ME12	C000002	91100912800	SYENSQO	Y	4	09128	FR	Polymers	BAG	25	KG	SUCCINOGLYCAN
	ME12	C000002	91100913700	SEPPIC SA	Y	4	09137	FR	Actives	DRUM	30	KG	SODIUM ACRYLATE / ISOHEXADECANE / POLYSORBATE 80 / SORBITAN OLEATE / WATER
	ME12	C000002	91100916600	CHIBA FLOUR MILLING Co., LTD.	Y	4	09166	JP	Surfactant	CAN	10	KG	DEXTRIN PALMITATE/ETHYLHEXANOATE
	ME12	C000002	91100918500	FUJI CHEMICAL INDUSTRIES CO., LTD	Y	4	09185	JP	Powders	BAG	10	KG	MAGNESIUM ALUMINUM SILICATE
	ME12	C000002	91100928500	CHIBA FLOUR MILLING Co., Ltd.	Y	4	09285	JP	Surfactant	CAN	10	KG	DEXTRIN PALMITATE
	ME12	C000002	91100935600	NIKKO RICA CORPORATION	Y	4	09356	JP	Wax & Oils	DRUM	16	KG	HYDROGENATED POLYISOBUTENE/TOCOPHEROL
	ME12	C000002	91100995900	GOO CHEMICAL CO., LTD	Y	4	09959	JP	Polymers	CAN	15	KG	ALCOHOL / AMP-ACRYLATES POLYACRYLATE CROSSPOLYMER-9
